IGBP,TIMESTAMP,LAT,LON,BLUE_L,GREEN_L,RED_L,NIR_L,SWIR1_L,SWIR2_L,NDVI_L,LSWI_L,NIRV_L,NIRVP_L,PAR_M,TA_E,VPD_E
DBF,2001-09-05,53.6289,-106.1978,0.07542799,0.096891459,0.084049143,0.387219186,0.172350056,0.080505749,0.643306635,0.383514368,0.249100671,22.32305874,89.61460688,289.1656221,0.91858172
DBF,2001-09-21,53.6289,-106.1978,0.046257714,0.073929031,0.063487331,0.3115167,0.143964709,0.059464165,0.661404542,0.366611417,0.20603856,15.65299118,75.9711735,283.2865016,0.379138891
DBF,2001-10-07,53.6289,-106.1978,0.050936911,0.067875741,0.082214095,0.170972281,0.172034766,0.101125739,0.350564622,-0.002429166,0.059936833,3.49591919,58.32672513,280.4856211,0.515160491
DBF,2001-10-23,53.6289,-106.1978,0.048788175,0.058528975,0.07018663,0.13672925,0.138419982,0.090856441,0.321592619,-0.004932841,0.043971118,1.828814023,41.59125625,269.9570656,0.167568296
DBF,2001-10-30,53.6289,-106.1978,0.061757194,0.070026444,0.081939634,0.147571861,0.154814394,0.09761851,0.285964877,-0.023303906,0.042200369,1.473258212,34.91102675,275.0586249,0.124278366
DBF,2002-01-27,53.6289,-106.1978,0.223813042,0.208851798,0.199755013,0.228567162,0.099559913,0.078364232,0.06726747,0.393515388,0.015375135,0.304428124,19.80002966,243.664978,0.015299135
DBF,2002-02-12,53.6289,-106.1978,0.192047639,0.193064216,0.190654549,0.255929724,0.12890512,0.095128756,0.146165415,0.329788822,0.037408074,1.202283102,32.13966838,266.8531799,0.064974176
DBF,2002-02-19,53.6289,-106.1978,0.492192548,0.485986605,0.476457615,0.485382085,0.428018744,0.36389599,0.009278542,0.063328718,0.004503638,0.061105538,13.568039,266.3850549,0.043515064
DBF,2002-02-28,53.6289,-106.1978,0.200229297,0.204288257,0.207000321,0.261056653,0.116400754,0.087834989,0.115490923,0.382005373,0.030149674,1.688705253,56.01073019,251.2102025,0.036059771
DBF,2002-05-10,53.6289,-106.1978,0.067168387,0.087619207,0.100393921,0.166022079,0.234283997,0.159152429,0.246337148,-0.170348121,0.040897405,4.808803287,117.5821116,278.8532569,0.540658364
DBF,2002-05-19,53.6289,-106.1978,0.081763581,0.09985334,0.115100207,0.190191224,0.256805421,0.176005938,0.245965033,-0.149008178,0.046780391,6.152115114,131.5105548,283.7753054,0.948546264
DBF,2002-05-26,53.6289,-106.1978,0.049017592,0.064607847,0.082492562,0.163945211,0.232944679,0.150496183,0.330520147,-0.173625359,0.054187195,7.588237099,140.0374582,284.9888687,0.904568622
DBF,2002-06-20,53.6289,-106.1978,0.019798439,0.03828509,0.024932384,0.374259668,0.160728681,0.06246198,0.87508577,0.398937947,0.327509309,48.6543934,148.5588104,288.2202384,0.814250795
DBF,2002-06-27,53.6289,-106.1978,0.025796436,0.042225977,0.032203586,0.350805644,0.155034351,0.063197951,0.83183911,0.38673254,0.291813855,44.55943671,152.6981532,300.4685103,1.978439908
DBF,2002-07-06,53.6289,-106.1978,0.019948071,0.035646075,0.022979921,0.37647522,0.156689932,0.058711921,0.88494367,0.411851693,0.333159363,52.00144927,156.0858109,291.2619788,1.19607384
DBF,2002-07-13,53.6289,-106.1978,0.02484612,0.04240444,0.030079642,0.357676182,0.1440718,0.051167007,0.844852663,0.425248312,0.302183675,39.13028875,129.4917362,300.0557022,1.841928111
DBF,2002-07-22,53.6289,-106.1978,0.03032654,0.044913073,0.032501952,0.426294899,0.177912567,0.067130962,0.858316586,0.410875123,0.365895983,50.82677932,138.9104601,289.4499747,0.735153305
DBF,2002-08-14,53.6289,-106.1978,0.066963154,0.075373319,0.058419764,0.409403195,0.150581819,0.060904255,0.750248409,0.46245874,0.307154096,10.92788594,35.57786168,287.6459573,0.28396414
DBF,2002-08-23,53.6289,-106.1978,0.020888693,0.037821431,0.022963387,0.345968631,0.144723001,0.052961166,0.875514264,0.409647819,0.302900471,34.0180208,112.3075863,292.5081259,0.886861476
DBF,2002-09-08,53.6289,-106.1978,0.029014441,0.044095466,0.030371285,0.343348342,0.135947667,0.054987327,0.837464865,0.432842742,0.287542173,22.87819825,79.5646705,285.8869826,0.340491904
DBF,2002-09-15,53.6289,-106.1978,0.023656565,0.041920895,0.028366956,0.309787155,0.1301196,0.050751198,0.832224686,0.408075706,0.257812518,22.11608893,85.78361163,289.0580934,0.813568091
DBF,2002-09-24,53.6289,-106.1978,0.038249524,0.055172032,0.043068612,0.348308494,0.144429908,0.061348411,0.779912462,0.413066893,0.271650135,19.0627175,70.1737825,276.6517385,0.348199207
DBF,2002-11-18,53.6289,-106.1978,0.100553265,0.085431223,0.104601958,0.196784023,0.117197739,0.077636187,0.305860492,0.254640235,0.060188458,0.841672712,13.98395538,272.3185202,0.087573855
DBF,2003-01-30,53.6289,-106.1978,0.190471883,0.172399768,0.162057969,0.217702183,0.100980282,0.074087009,0.146524625,0.366804023,0.031898731,0.628798758,19.71234409,260.1761405,0.032551371
DBF,2003-02-22,53.6289,-106.1978,0.207666984,0.210710455,0.212468191,0.262875551,0.11011354,0.078900367,0.106044017,0.408863939,0.027876379,1.265265262,45.38843616,245.268432,0.021000538
DBF,2003-03-03,53.6289,-106.1978,0.251222207,0.25558449,0.260144589,0.316806031,0.131143426,0.097073686,0.098208479,0.413490398,0.031113038,1.735096479,55.7675035,252.7256769,0.036475734
DBF,2003-03-19,53.6289,-106.1978,0.299263024,0.310874615,0.309251716,0.351202941,0.119212713,0.084426576,0.063518706,0.492725938,0.022307956,1.616217083,72.45025325,274.1304429,0.184112729
DBF,2003-04-11,53.6289,-106.1978,0.122291691,0.143309311,0.153087201,0.203980035,0.120509516,0.082591646,0.142530116,0.257703778,0.029073298,2.741474741,94.29527875,277.2962449,0.335302036
DBF,2003-04-20,53.6289,-106.1978,0.049450978,0.062785594,0.078011755,0.152562562,0.231520207,0.160556285,0.323326587,-0.205144493,0.049327532,5.078296721,102.9505525,281.5362218,0.370615417
DBF,2003-05-06,53.6289,-106.1978,0.055822657,0.069952914,0.083735188,0.174345328,0.239555501,0.161610439,0.351092524,-0.15736324,0.061211341,6.568666115,107.3112594,284.6118291,0.761249942
DBF,2003-05-22,53.6289,-106.1978,0.047357514,0.064645623,0.061052892,0.249999262,0.184329514,0.101543508,0.607442733,0.15104935,0.151860235,19.08975161,125.7060589,285.6106389,0.723822614
DBF,2003-06-14,53.6289,-106.1978,0.024085518,0.043759448,0.03149451,0.323984969,0.158945396,0.069033654,0.822805465,0.341484962,0.266576603,40.68150745,152.6071943,292.5620778,0.895618585
DBF,2003-06-30,53.6289,-106.1978,0.022739006,0.04031898,0.028363077,0.342537613,0.151915498,0.059880971,0.847058374,0.385396614,0.290149354,41.58977097,143.3391819,292.8982162,0.926171675
DBF,2003-07-16,53.6289,-106.1978,0.021051532,0.036347883,0.025707503,0.315780325,0.143803507,0.056626988,0.849438245,0.373975635,0.268235885,37.454172,139.6314739,290.7792314,0.728162732
DBF,2003-08-01,53.6289,-106.1978,0.026137822,0.040018999,0.030704974,0.308397816,0.147275444,0.057934096,0.818904624,0.353258024,0.252548398,31.82508261,126.0157773,294.6987845,1.213563502
DBF,2003-08-26,53.6289,-106.1978,0.02179888,0.03839161,0.027248897,0.296925539,0.145611111,0.057546146,0.831887441,0.341617248,0.247008627,24.80646593,100.4275285,287.9417979,0.7944136
DBF,2003-10-04,53.6289,-106.1978,0.035838454,0.079979835,0.097453865,0.218250976,0.160348439,0.078403418,0.382626729,0.152026414,0.083508657,5.231078612,62.64115338,285.1181787,0.351557548
DBF,2003-10-13,53.6289,-106.1978,0.047961192,0.058377252,0.079171009,0.18607342,0.201249576,0.123179485,0.403033579,-0.037340918,0.074993836,3.279519689,43.730523,277.0658811,0.194117499
DBF,2003-10-20,53.6289,-106.1978,0.070461447,0.084867052,0.100522439,0.185469609,0.228304821,0.156932425,0.297026337,-0.102434879,0.055089358,2.028336197,36.81902013,278.53604,0.125812226
DBF,2003-11-14,53.6289,-106.1978,0.069850422,0.072503075,0.075565668,0.148965662,0.101472385,0.070193508,0.32690313,0.191149339,0.048697341,1.100997862,22.60899338,273.3168437,0.164292472
DBF,2003-11-21,53.6289,-106.1978,0.16829803,0.172710999,0.158623757,0.21499168,0.108682581,0.079808969,0.150871504,0.328911174,0.032436118,0.369331589,11.38643,257.8940385,0.05510209
DBF,2004-01-24,53.6289,-106.1978,0.246107603,0.236074331,0.232643756,0.283677056,0.108348698,0.08065771,0.098840292,0.447204215,0.028038723,0.369610962,13.18216109,249.3086211,0.022795788
DBF,2004-02-02,53.6289,-106.1978,0.21148124,0.200013042,0.192070446,0.243657098,0.102747126,0.072131984,0.118391991,0.408834626,0.028847049,0.82764007,28.69063225,246.392163,0.02073914
DBF,2004-02-18,53.6289,-106.1978,0.208412162,0.203078522,0.203371366,0.264829644,0.108741739,0.07816766,0.131264728,0.416631149,0.034762791,1.503433564,43.24835575,264.2086074,0.051647493
