TA_E,VPD_E,PAR_M,NDVI_L,NIRV_L,LSWI_L,NIRVP_L,prediction_label
280.95706,0.56392235,151.25763,0.5766657,0.098908484,-0.017017052,14.960663,3.0028449025268014
288.42062,0.6848225,117.75369,0.80297595,0.27295327,0.31100956,32.141254,8.667489791537202
289.40366,0.7649417,75.689125,0.859129,0.3414648,0.39829692,25.845171,8.24941667046525
285.84668,0.4992815,109.323395,0.8241287,0.23418674,0.3600885,25.602089,7.439837460221165
288.01038,0.57678574,95.11528,0.8182248,0.21720421,0.3921851,20.659441,7.612852731814624
282.98492,0.3916626,74.78373,0.7344211,0.21280588,0.3839277,15.914418,5.406698911797283
286.67538,0.5509318,84.12011,0.7736283,0.19067779,0.34482118,16.039837,5.368702047525522
281.47424,0.4757988,59.784748,0.68131167,0.16237837,0.3307229,9.70775,4.380863512853839
286.70416,0.4787868,65.56319,0.3707616,0.086259894,0.2734522,5.6554737,3.226930892427688
252.21765,0.027529182,41.09341,0.07276773,0.017093478,0.38657144,0.7024293,0.025591093831499052
265.47562,0.054689385,33.637688,0.04414231,0.013633828,0.44745353,0.45861045,0.08591987787272153
246.0907,0.0253427,62.91467,0.04194912,0.012636651,0.44988942,0.7950307,0.025591093831499052
262.5023,0.04882398,71.50044,0.036380406,0.012331322,0.4771382,0.88169503,0.025591093831499052
264.9227,0.11540205,83.40269,0.0174514,0.005771885,0.58327615,0.48139074,0.11692300263300572
277.18802,0.18346883,109.28998,0.008907945,0.002430643,0.5746117,0.26564497,0.6905944372288354
278.75632,0.3925368,139.63234,0.22631541,0.044365574,-0.13504392,6.1948686,0.7617318434856795
294.54742,1.408677,133.45802,0.7889914,0.21823889,0.28636894,29.125729,6.871150832234588
294.35843,0.89725655,130.78468,0.8798681,0.3369677,0.39693883,44.070213,11.657791422467835
293.29,0.8291374,121.58902,0.86615366,0.29593748,0.4027708,35.982746,9.50951366265735
287.8219,0.49852455,103.425964,0.87222433,0.27908933,0.4044855,28.865082,8.782327044961614
293.48114,0.7041314,94.72755,0.8300063,0.25562924,0.39339873,24.215132,7.966852041206194
290.00598,0.47887123,81.68675,0.814167,0.22289552,0.3751169,18.207611,6.811481958158228
269.97943,0.10341264,22.462635,0.26528594,0.038665306,0.16448624,0.8685246,0.3154059171027743
279.01907,0.48590755,93.028755,0.27813908,0.0356,-0.21239154,3.3118236,0.41670544400146226
288.47693,0.8046403,131.8419,0.6545454,0.13487975,0.10702931,17.782804,5.964397193689915
283.90555,0.45691314,148.43628,0.68778884,0.21299118,0.3356527,31.61562,7.471319066084021
289.84717,0.3458101,142.37659,0.8683267,0.38081208,0.4222626,54.218723,12.75118833208724
